회사명,종목코드,시장,감사인,감사의견,비고
에스피소프트,443670,코스닥,대주회계법인,적정의견,
스튜디오삼익,415380,코스닥,신우회계법인,적정의견,
신영스팩10호,472220,코스닥,신우회계법인,적정의견,
폰드그룹,472850,코스닥,동현회계법인,적정의견,
IBKS제24호스팩,469480,코스닥,이촌회계법인,적정의견,
레이저옵텍,199550,코스닥,정진세림회계법인,적정의견,
이닉스,452400,코스닥,서현회계법인,적정의견,
엘앤에프,066970,유가,선일회계법인,적정의견,
포스뱅크,105760,코스닥,신한회계법인,적정의견,
현대힘스,460930,코스닥,삼일회계법인,적정의견,
HB인베스트먼트,440290,코스닥,인덕회계법인,적정의견,
드림인사이트,362990,코스닥,대주회계법인,적정의견,
우진엔텍,457550,코스닥,동성회계법인,적정의견,
한빛레이저,452190,코스닥,대주회계법인,,
포스코DX,022100,유가,한영회계법인,적정의견,
DS단석,017860,유가,리안회계법인,적정의견,
씨싸이트,109670,코스닥,대주회계법인,적정의견,
블루엠텍,439580,코스닥,삼정회계법인,적정의견,
LS머트리얼즈,417200,코스닥,한영회계법인,적정의견,
케이엔에스,432470,코스닥,우리회계법인,적정의견,
교보15호스팩,465320,코스닥,대주회계법인,적정의견,
와이바이오로직스,338840,코스닥,동성회계법인,적정의견,
에이텀,355690,코스닥,예일회계법인,적정의견,
에이에스텍,453860,코스닥,삼덕회계법인,적정의견,
그린리소스,402490,코스닥,이촌회계법인,적정의견,
제이엔비,452160,코스닥,한울회계법인,적정의견,
한선엔지니어링,452280,코스닥,신우회계법인,적정의견,
동인기연,111380,유가,안진회계법인,적정의견,
에코아이,448280,코스닥,한울회계법인,적정의견,
스톰테크,352090,코스닥,신한회계법인,적정의견,
에코프로머티,450080,유가,대주회계법인,적정의견,
캡스톤파트너스,452300,코스닥,도원회계법인,적정의견,
에스와이스틸텍,365330,코스닥,삼일회계법인,적정의견,
에이직랜드,445090,코스닥,한영회계법인,적정의견,
메가터치,446540,코스닥,한미회계법인,적정의견,
비아이매트릭스,413640,코스닥,삼덕회계법인,적정의견,
컨텍,451760,코스닥,대주회계법인,적정의견,
큐로셀,372320,코스닥,신우회계법인,,
쏘닉스,088280,코스닥,동성회계법인,적정의견,
세니젠,188260,코스닥,한울회계법인,적정의견,
파라택시스이더리움,290560,코스닥,한울회계법인,적정의견,
유진테크놀로지,240600,코스닥,삼일회계법인,적정의견,
지구홀딩스,221800,코스닥,서현회계법인,적정의견,
퀄리타스반도체,432720,코스닥,태성회계법인,적정의견,
워트,396470,코스닥,신우회계법인,적정의견,
에스엘에스바이오,246250,코스닥,정진세림회계법인,적정의견,
신성에스티,416180,코스닥,성현회계법인,적정의견,
퓨릿,445180,코스닥,태일회계법인,적정의견,
아이엠티,451220,코스닥,삼덕회계법인,적정의견,
레뷰코퍼레이션,443250,코스닥,대주회계법인,적정의견,
두산로보틱스,454910,유가,삼정회계법인,적정의견,
한싹,430690,코스닥,한미회계법인,적정의견,
KT밀리의서재,418470,코스닥,삼일회계법인,적정의견,
인스웨이브,450520,코스닥,삼정회계법인,적정의견,
우듬지팜,403490,코스닥,신한회계법인,적정의견,
코어라인소프트,384470,코스닥,한울회계법인,적정의견,
STX그린로지스,465770,유가,,,감사인 이름을 못 읽음
율촌,146060,코스닥,이촌회계법인,적정의견,
크라우드웍스,355390,코스닥,삼도회계법인,적정의견,
시큐레터,418250,코스닥,한영회계법인,적정의견,
스마트레이더시스템,424960,코스닥,삼덕회계법인,적정의견,
넥스틸,092790,유가,,,"ReadTimeout: HTTPSConnectionPool(host='dart.fss.or.kr', port"
캔버스엔,210120,코스닥,삼덕회계법인,적정의견,
코츠테크놀로지,448710,코스닥,삼덕회계법인,적정의견,
큐리옥스바이오시스템즈,445680,코스닥,삼화회계법인,적정의견,
NICE평가정보,030190,유가,한영회계법인,적정의견,
파두,440110,코스닥,한영회계법인,적정의견,
엠아이큐브솔루션,373170,코스닥,삼일회계법인,적정의견,
시지트로닉스,429270,코스닥,삼도회계법인,적정의견,
조선내화,462520,유가,삼일회계법인,적정의견,
조선내화,462520,유가,삼일회계법인,적정의견,
에이엘티,172670,코스닥,태성회계법인,적정의견,
파로스아이바이오,388870,코스닥,삼도회계법인,적정의견,
버넥트,438700,코스닥,한울회계법인,,
뷰티스킨,406820,코스닥,서현회계법인,적정의견,
와이랩,432430,코스닥,삼도회계법인,적정의견,
센서뷰,321370,코스닥,,,감사의견 절을 못 찾음
필에너지,378340,코스닥,한울회계법인,적정의견,
이노시뮬레이션,274400,코스닥,한미회계법인,적정의견,
알멕,354320,코스닥,정인회계법인,적정의견,
오픈놀,440320,코스닥,정진세림회계법인,적정의견,
아이티센피엔에스,232830,코스닥,삼일회계법인,적정의견,
비에이치,090460,유가,,,최근 2년 사업보고서 없음
동국씨엠,460850,유가,안진회계법인,적정의견,
동국제강,460860,유가,안진회계법인,적정의견,
프로티아,303360,코스닥,한울회계법인,적정의견,
큐라티스,348080,코스닥,신한회계법인,적정의견,
마녀공장,439090,코스닥,삼일회계법인,적정의견,
나라셀라,405920,코스닥,대주회계법인,적정의견,
진영,285800,코스닥,한미회계법인,적정의견,
이수스페셜티케미컬,457190,유가,삼정회계법인,적정의견,
OCI,456040,유가,삼정회계법인,적정의견,
기가비스,420770,코스닥,신한회계법인,적정의견,
팸텍,271830,코스닥,우리회계법인,적정의견,
모니터랩,434480,코스닥,대주회계법인,적정의견,
시선AI,340810,코스닥,한울회계법인,적정의견,
지슨,446840,코스닥,삼정회계법인,적정의견,
트루엔,417790,코스닥,동성회계법인,적정의견,
에스바이오메딕스,304360,코스닥,신한회계법인,적정의견,
슈어소프트테크,298830,코스닥,우리회계법인,적정의견,
토마토시스템,393210,코스닥,동현회계법인,적정의견,
마이크로투나노,424980,코스닥,대현회계법인,적정의견,
셀바이오휴먼텍,318160,코스닥,이정회계법인,적정의견,
SK오션플랜트,100090,유가,삼정회계법인,,
삼성FN리츠,448730,유가,한울회계법인,적정의견,
현대그린푸드,453340,유가,삼일회계법인,적정의견,
한화갤러리아,452260,유가,,,최근 2년 사업보고서 없음
지아이이노베이션,358570,코스닥,삼일회계법인,적정의견,
LB인베스트먼트,309960,코스닥,한울회계법인,적정의견,
한화리츠,451800,유가,한울회계법인,적정의견,
엑스게이트,356680,코스닥,한미회계법인,적정의견,
금양그린파워,282720,코스닥,삼일회계법인,적정의견,
라온텍,418420,코스닥,삼화회계법인,적정의견,
자람테크놀로지,389020,코스닥,삼덕회계법인,적정의견,
나노팀,417010,코스닥,대주회계법인,,
바이오인프라,199730,코스닥,서현회계법인,적정의견,
이노진,344860,코스닥,한울회계법인,적정의견,
화인써키트,127980,코스닥,한미회계법인,적정의견,
제이오,418550,코스닥,삼도회계법인,적정의견,
샌즈랩,411080,코스닥,서우회계법인,적정의견,
꿈비,407400,코스닥,동현회계법인,적정의견,
스튜디오미르,408900,코스닥,리안회계법인,적정의견,
삼기에너지솔루션즈,419050,코스닥,,,감사의견 절을 못 찾음
오브젠,417860,코스닥,한미회계법인,적정의견,
미래반도체,254490,코스닥,성현회계법인,적정의견,
티이엠씨,425040,코스닥,신우회계법인,적정의견,
한주라이트메탈,198940,코스닥,이촌회계법인,적정의견,
옵티코어,380540,코스닥,한울회계법인,의견거절,
신스틸,162300,코스닥,신우회계법인,적정의견,
바이오노트,377740,유가,한영회계법인,적정의견,
핑거스토리,417180,코스닥,삼정회계법인,적정의견,
SAMG엔터,419530,코스닥,이촌회계법인,적정의견,
유니드비티플러스,446070,유가,한울회계법인,적정의견,
펨트론,168360,코스닥,인덕회계법인,적정의견,
인벤티지랩,389470,코스닥,대주회계법인,적정의견,
엔젯,419080,코스닥,서우회계법인,적정의견,
유비온,084440,코스닥,이정회계법인,적정의견,
티쓰리,204610,코스닥,삼덕회계법인,적정의견,
티에프이,425420,코스닥,한미회계법인,적정의견,
윤성에프앤씨,372170,코스닥,대주회계법인,적정의견,
디티앤씨알오,383930,코스닥,이정회계법인,적정의견,
뉴로메카,348340,코스닥,대주회계법인,적정의견,
제이아이테크,417500,코스닥,이촌회계법인,적정의견,
LX세미콘,108320,유가,삼일회계법인,적정의견,
큐알티,405100,코스닥,한미회계법인,적정의견,
저스템,417840,코스닥,서현회계법인,적정의견,
산돌,419120,코스닥,현대회계법인,적정의견,
플라즈맵,405000,코스닥,대주회계법인,적정의견,
핀텔,291810,코스닥,이정회계법인,적정의견,
샤페론,378800,코스닥,신우회계법인,적정의견,
비스토스,419540,코스닥,한미회계법인,적정의견,
탑머티리얼,360070,코스닥,신우회계법인,적정의견,
에스비비테크,389500,코스닥,태성회계법인,적정의견,
오에스피,368970,코스닥,도원회계법인,적정의견,
모델솔루션,417970,코스닥,동현회계법인,적정의견,
이노에이엑스,296640,코스닥,동현회계법인,적정의견,
파인엠텍,441270,코스닥,대주회계법인,적정의견,
KB스타리츠,432320,유가,다산회계법인,적정의견,
선바이오,067370,코스닥,다산회계법인,적정의견,
더블유씨피,393890,코스닥,삼정회계법인,적정의견,
알피바이오,314140,코스닥,현대회계법인,적정의견,
오픈엣지테크놀로지,394280,코스닥,한울회계법인,적정의견,
대성하이텍,129920,코스닥,삼일회계법인,적정의견,
쏘카,403550,유가,대주회계법인,적정의견,
에이치와이티씨,148930,코스닥,성현회계법인,적정의견,
새빗켐,107600,코스닥,동현회계법인,적정의견,
수산인더스트리,126720,유가,삼일회계법인,적정의견,
아이씨에이치,368600,코스닥,대주회계법인,적정의견,
성일하이텍,365340,코스닥,삼정회계법인,적정의견,
에이프릴바이오,397030,코스닥,성현회계법인,적정의견,
벨로크,424760,코스닥,삼도회계법인,적정의견,
루닛,328130,코스닥,삼덕회계법인,적정의견,
HPSP,403870,코스닥,우리회계법인,적정의견,
와이씨켐,112290,코스닥,도원회계법인,적정의견,
코난테크놀로지,402030,코스닥,대주회계법인,적정의견,
넥스트칩,396270,코스닥,삼일회계법인,적정의견,
레이저쎌,412350,코스닥,태성회계법인,적정의견,
보로노이,310210,코스닥,안진회계법인,적정의견,
큐에이드,377460,코스닥,서현회계법인,적정의견,
큐에이드,377460,코스닥,서현회계법인,적정의견,
비큐AI,148780,코스닥,삼덕회계법인,적정의견,
범한퓨얼셀,382900,코스닥,우리회계법인,적정의견,
청담글로벌,362320,코스닥,신한회계법인,적정의견,
마스턴프리미어리츠,357430,유가,삼덕회계법인,적정의견,
가온칩스,399720,코스닥,한영회계법인,적정의견,
대명에너지,389260,코스닥,이촌회계법인,적정의견,
